"ENSEMBL_ID","N61311_Untreated","N61311_Dexamethasone","N052611_Untreated","N052611_Dexamethasone","N080611_Untreated","N080611_Dexamethasone","N061011_Untreated","N061011_Dexamethasone"
"ENSG00000223972",29,28,23,16,21,30,5,2
"ENSG00000227232",843,701,1102,495,838,967,578,573
"ENSG00000278267",26,19,24,16,13,20,12,16
"ENSG00000243485",20,9,30,9,10,4,9,3
"ENSG00000284332",0,0,0,0,0,0,0,0
"ENSG00000237613",19,6,19,4,8,6,14,7
"ENSG00000268020",0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,1,0,0,0
"ENSG00000238009",15,15,26,12,18,19,29,15
"ENSG00000239945",0,0,0,0,0,0,0,0
"ENSG00000233750",16,10,17,14,18,17,16,14
"ENSG00000268903",50,30,96,47,38,38,48,29
"ENSG00000269981",16,21,42,28,16,28,22,16
"ENSG00000239906",1,1,6,6,3,1,4,0
"ENSG00000241860",79,50,188,63,44,44,83,51
"ENSG00000222623",0,0,0,0,0,0,0,0
"ENSG00000241599",0,0,0,0,0,1,0,0
"ENSG00000279928",12,21,17,11,12,21,2,2
"ENSG00000279457",1049,878,1314,606,1034,1303,658,634
"ENSG00000273874",25,20,19,12,11,15,7,18
"ENSG00000228463",301,208,329,123,490,471,202,134
"ENSG00000236679",17,7,11,8,20,24,14,9
"ENSG00000236601",2,0,0,0,1,0,1,3
"ENSG00000237094",203,130,365,190,235,247,195,152
"ENSG00000269732",0,0,0,0,0,0,0,0
"ENSG00000284733",0,0,0,0,0,1,1,0
"ENSG00000233653",16,9,16,10,12,22,8,8
"ENSG00000250575",97,75,203,96,89,118,108,71
"ENSG00000278757",0,0,0,0,0,0,0,0
"ENSG00000230021",55,50,103,33,66,60,20,43
"ENSG00000235146",0,0,0,0,0,0,0,0
"ENSG00000225972",894,1186,1341,1055,1503,1555,1005,1160
"ENSG00000225630",8080,7907,10775,7496,12047,14216,6542,8027
"ENSG00000237973",53012,53223,67993,43636,97487,100972,57882,62814
"ENSG00000278791",0,0,0,0,0,0,0,0
"ENSG00000229344",589,803,1832,1084,2201,2170,863,952
"ENSG00000240409",15,11,20,16,32,36,23,20
"ENSG00000248527",11740,12363,16386,11160,14812,15922,10041,10738
"ENSG00000198744",3701,4020,4662,2895,3677,3608,2773,3076
"ENSG00000268663",0,0,0,0,0,0,0,0
"ENSG00000284662",0,0,0,0,0,1,1,0
