Gene	GeneID
Ficd	ENSRNOG00000059799
Dnajb9	ENSRNOG00000004006
Txndc11	ENSRNOG00000002452
Sec23b	ENSRNOG00000008411
Serp1	ENSRNOG00000011763
Alg2	ENSRNOG00000006369
Edem2	ENSRNOG00000019299
Gmppb	ENSRNOG00000037229
Slc33a1	ENSRNOG00000010023
Creld2	ENSRNOG00000004659
Manf	ENSRNOG00000014201
AY172581.24	ENSRNOG00000043866
Hyou1	ENSRNOG00000010944
Ldlr	ENSRNOG00000009946
Pdia4	ENSRNOG00000006228
Hspa5	ENSRNOG00000018294
Magt1	ENSRNOG00000051408
Sec24d	ENSRNOG00000014872
Sec61a1	ENSRNOG00000013743
Arfgap3	ENSRNOG00000046472
Xbp1	ENSRNOG00000010298
Y_RNA	ENSRNOG00000056608
Rbm15b	ENSRNOG00000014161
Ero1b	ENSRNOG00000002609
Metazoa_SRP	ENSRNOG00000059449
Oat	ENSRNOG00000016807
Dnajc3	ENSRNOG00000010352
	ENSRNOG00000047167
	ENSRNOG00000046363
Hmgcs1	ENSRNOG00000016552
Mt-cyb	ENSRNOG00000031766
Syvn1	ENSRNOG00000020950
U3	ENSRNOG00000061360
	ENSRNOG00000059255
AC105648.6	ENSRNOG00000055845
	ENSRNOG00000036459
	ENSRNOG00000054042
Spry2	ENSRNOG00000010058
Metazoa_SRP	ENSRNOG00000048993
Edem1	ENSRNOG00000055365
Insig1	ENSRNOG00000006859
Sec23a	ENSRNOG00000004657
Uso1	ENSRNOG00000002301
Pdia6	ENSRNOG00000050197
Mt-co2	ENSRNOG00000030371
	ENSRNOG00000060386
SNORA74	ENSRNOG00000051492
Abca1	ENSRNOG00000018126
Wfs1	ENSRNOG00000005108
Mt-co3	ENSRNOG00000030700
Snora68	ENSRNOG00000051532
Lims2	ENSRNOG00000016021
Adarb1	ENSRNOG00000001227
SNORA73	ENSRNOG00000061536
AY172581.9	ENSRNOG00000030478
Trib3	ENSRNOG00000007319
Metazoa_SRP	ENSRNOG00000060012
	ENSRNOG00000008224
Creb3l2	ENSRNOG00000012826
	ENSRNOG00000054752
Emilin1	ENSRNOG00000008246
	ENSRNOG00000046806
Metazoa_SRP	ENSRNOG00000055749
Ostc	ENSRNOG00000023322
Hmgcr	ENSRNOG00000016122
Tf	ENSRNOG00000030625
Cep295nl	ENSRNOG00000033143
F3	ENSRNOG00000011800
Mt-atp8	ENSRNOG00000033299
Tbl2	ENSRNOG00000046252
	ENSRNOG00000028747
	ENSRNOG00000022657
Srp54a	ENSRNOG00000032776
Slc2a10	ENSRNOG00000025384
Jag1	ENSRNOG00000007443
Slc2a1	ENSRNOG00000007284
AC105648.7	ENSRNOG00000057204
	ENSRNOG00000048931
Lman1	ENSRNOG00000024470
Metazoa_SRP	ENSRNOG00000060522
SNORA73	ENSRNOG00000061662
Prrc1	ENSRNOG00000016433
Gm22442	ENSRNOG00000057490
Lpin3	ENSRNOG00000016636
Gm24336	ENSRNOG00000052607
	ENSRNOG00000048558
Tram1	ENSRNOG00000007892
Tmem214	ENSRNOG00000008812
Mt-nd1	ENSRNOG00000030644
Cyp51	ENSRNOG00000007234
Mgat2	ENSRNOG00000004234
Ifit2	ENSRNOG00000036604
Slc35e1	ENSRNOG00000012287
Rpn1	ENSRNOG00000046345
Spcs2	ENSRNOG00000018164
Mt-nd2	ENSRNOG00000031033
Pgm3	ENSRNOG00000009515
Entpd7	ENSRNOG00000016883
Slc6a9	ENSRNOG00000019484
